Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"2,376,953,052.24",5.95,"2,376,953,052.24","10,191,892.00",233.22,United States,NASDAQ,USD,1,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"2,202,002,669.94",5.51,"2,202,002,669.94","5,295,567.00",415.82,United States,NASDAQ,USD,1,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"2,144,278,224.64",5.37,"2,144,278,224.64","16,663,648.00",128.68,United States,NASDAQ,USD,1,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"1,596,233,918.31",4,"1,596,233,918.31","6,683,557.00",238.83,United States,NASDAQ,USD,1,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"1,110,860,325.81",2.78,"1,110,860,325.81","1,560,219.00",711.99,United States,NASDAQ,USD,1,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"801,927,430.00",2.01,"801,927,430.00","4,185,425.00",191.6,United States,NASDAQ,USD,1,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"749,100,647.04",1.88,"749,100,647.04","3,237,814.00",231.36,United States,NASDAQ,USD,1,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"740,777,034.08",1.85,"740,777,034.08","1,978,994.00",374.32,United States,NASDAQ,USD,1,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"667,960,281.04",1.67,"667,960,281.04","3,455,384.00",193.31,United States,NASDAQ,USD,1,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"621,978,005.92",1.56,"621,978,005.92","1,303,336.00",477.22,United States,New York Stock Exchange Inc.,USD,1,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"553,929,589.20",1.39,"553,929,589.20","2,000,468.00",276.9,United States,New York Stock Exchange Inc.,USD,1,USD,-
LLY,ELI LILLY,Health Care,Equity,"496,137,881.47",1.24,"496,137,881.47","570,031.00",870.37,United States,New York Stock Exchange Inc.,USD,1,USD,-
V,VISA INC CLASS A,Financials,Equity,"389,825,997.68",0.98,"389,825,997.68","1,121,866.00",347.48,United States,New York Stock Exchange Inc.,USD,1,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"347,098,284.12",0.87,"347,098,284.12","654,853.00",530.04,United States,New York Stock Exchange Inc.,USD,1,USD,-
XOM,EXXON MOBIL CORP,Energy,Equity,"346,503,787.35",0.87,"346,503,787.35","3,195,645.00",108.43,United States,New York Stock Exchange Inc.,USD,1,USD,-
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"331,787,033.10",0.83,"331,787,033.10","315,690.00","1,050.99",United States,NASDAQ,USD,1,USD,-
MA,MASTERCARD INC CLASS A,Financials,Equity,"329,324,289.80",0.82,"329,324,289.80","580,655.00",567.16,United States,New York Stock Exchange Inc.,USD,1,USD,-
WMT,WALMART INC,Consumer Staples,Equity,"317,853,708.15",0.8,"317,853,708.15","3,090,459.00",102.85,United States,New York Stock Exchange Inc.,USD,1,USD,-
NFLX,NETFLIX INC,Communication,Equity,"309,415,739.52",0.77,"309,415,739.52","304,639.00","1,015.68",United States,NASDAQ,USD,1,USD,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"292,508,369.04",0.73,"292,508,369.04","706,269.00",414.16,United States,New York Stock Exchange Inc.,USD,1,USD,-
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"283,739,847.76",0.71,"283,739,847.76","1,680,127.00",168.88,United States,New York Stock Exchange Inc.,USD,1,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"263,683,819.98",0.66,"263,683,819.98","1,717,698.00",153.51,United States,New York Stock Exchange Inc.,USD,1,USD,-
ABBV,ABBVIE INC,Health Care,Equity,"243,445,548.84",0.61,"243,445,548.84","1,261,572.00",192.97,United States,New York Stock Exchange Inc.,USD,1,USD,-
BAC,BANK OF AMERICA CORP,Financials,Equity,"226,353,194.76",0.57,"226,353,194.76","4,741,374.00",47.74,United States,New York Stock Exchange Inc.,USD,1,USD,-
CRM,SALESFORCE INC,Information Technology,Equity,"217,667,356.23",0.54,"217,667,356.23","657,983.00",330.81,United States,New York Stock Exchange Inc.,USD,1,USD,-
WFC,WELLS FARGO,Financials,Equity,"193,192,236.12",0.48,"193,192,236.12","2,372,786.00",81.42,United States,New York Stock Exchange Inc.,USD,1,USD,-
ORCL,ORACLE CORP,Information Technology,Equity,"192,820,354.20",0.48,"192,820,354.20","1,118,772.00",172.35,United States,New York Stock Exchange Inc.,USD,1,USD,-
CVX,CHEVRON CORP,Energy,Equity,"186,377,046.80",0.47,"186,377,046.80","1,226,972.00",151.9,United States,New York Stock Exchange Inc.,USD,1,USD,-
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"177,028,130.24",0.44,"177,028,130.24","2,842,912.00",62.27,United States,NASDAQ,USD,1,USD,-
KO,COCA-COLA,Consumer Staples,Equity,"175,193,124.48",0.44,"175,193,124.48","2,765,043.00",63.36,United States,New York Stock Exchange Inc.,USD,1,USD,-
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"172,864,419.24",0.43,"172,864,419.24","446,286.00",387.34,United States,New York Stock Exchange Inc.,USD,1,USD,-
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"165,640,273.92",0.41,"165,640,273.92","653,568.00",253.44,United States,New York Stock Exchange Inc.,USD,1,USD,-
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"160,972,998.48",0.4,"160,972,998.48","1,107,714.00",145.32,United States,New York Stock Exchange Inc.,USD,1,USD,-
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"159,588,205.92",0.4,"159,588,205.92","1,434,114.00",111.28,United States,NASDAQ,USD,1,USD,-
MRK,MERCK & CO INC,Health Care,Equity,"159,017,595.60",0.4,"159,017,595.60","1,805,992.00",88.05,United States,New York Stock Exchange Inc.,USD,1,USD,-
GE,GE AEROSPACE,Industrials,Equity,"158,029,886.72",0.4,"158,029,886.72","766,912.00",206.06,United States,New York Stock Exchange Inc.,USD,1,USD,-
ABT,ABBOTT LABORATORIES,Health Care,Equity,"158,017,174.02",0.4,"158,017,174.02","1,232,391.00",128.22,United States,New York Stock Exchange Inc.,USD,1,USD,-
LIN,LINDE PLC,Materials,Equity,"157,699,056.24",0.39,"157,699,056.24","342,318.00",460.68,United States,NASDAQ,USD,1,USD,-
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"155,811,482.60",0.39,"155,811,482.60","272,060.00",572.71,United States,New York Stock Exchange Inc.,USD,1,USD,-
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"150,853,907.16",0.38,"150,853,907.16","512,481.00",294.36,United States,New York Stock Exchange Inc.,USD,1,USD,-
NOW,SERVICENOW INC,Information Technology,Equity,"149,690,370.60",0.37,"149,690,370.60","146,282.00","1,023.30",United States,New York Stock Exchange Inc.,USD,1,USD,-
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"148,145,459.00",0.37,"148,145,459.00","251,734.00",588.5,United States,NASDAQ,USD,1,USD,-
DIS,WALT DISNEY,Communication,Equity,"145,018,791.39",0.36,"145,018,791.39","1,293,771.00",112.09,United States,New York Stock Exchange Inc.,USD,1,USD,-
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"143,900,056.40",0.36,"143,900,056.40","218,620.00",658.22,United States,New York Stock Exchange Inc.,USD,1,USD,-
PEP,PEPSICO INC,Consumer Staples,Equity,"142,372,650.60",0.36,"142,372,650.60","979,516.00",145.35,United States,NASDAQ,USD,1,USD,-
ADBE,ADOBE INC,Information Technology,Equity,"137,565,936.20",0.34,"137,565,936.20","315,953.00",435.4,United States,NASDAQ,USD,1,USD,-
QCOM,QUALCOMM INC,Information Technology,Equity,"134,749,089.00",0.34,"134,749,089.00","795,825.00",169.32,United States,NASDAQ,USD,1,USD,-
AXP,AMERICAN EXPRESS,Financials,Equity,"127,767,382.90",0.32,"127,767,382.90","399,086.00",320.15,United States,New York Stock Exchange Inc.,USD,1,USD,-
CAT,CATERPILLAR INC,Industrials,Equity,"127,089,622.90",0.32,"127,089,622.90","347,762.00",365.45,United States,New York Stock Exchange Inc.,USD,1,USD,-
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"126,360,019.44",0.32,"126,360,019.44","1,147,059.00",110.16,United States,NASDAQ,USD,1,USD,-
T,AT&T INC,Communication,Equity,"124,838,545.95",0.31,"124,838,545.95","5,105,871.00",24.45,United States,New York Stock Exchange Inc.,USD,1,USD,-
RTX,RTX CORP,Industrials,Equity,"122,053,434.26",0.31,"122,053,434.26","947,767.00",128.78,United States,New York Stock Exchange Inc.,USD,1,USD,-
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"119,963,624.24",0.3,"119,963,624.24","3,003,596.00",39.94,United States,New York Stock Exchange Inc.,USD,1,USD,-
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"118,877,057.52",0.3,"118,877,057.52","648,609.00",183.28,United States,NASDAQ,USD,1,USD,-
MS,MORGAN STANLEY,Financials,Equity,"116,479,598.24",0.29,"116,479,598.24","825,628.00",141.08,United States,New York Stock Exchange Inc.,USD,1,USD,-
SPGI,S&P GLOBAL INC,Financials,Equity,"115,803,324.12",0.29,"115,803,324.12","223,102.00",519.06,United States,New York Stock Exchange Inc.,USD,1,USD,-
INTU,INTUIT INC,Information Technology,Equity,"114,862,363.20",0.29,"114,862,363.20","194,616.00",590.2,United States,NASDAQ,USD,1,USD,-
AMGN,AMGEN INC,Health Care,Equity,"113,581,629.84",0.28,"113,581,629.84","381,428.00",297.78,United States,NASDAQ,USD,1,USD,-
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"112,523,932.82",0.28,"112,523,932.82","23,542.00","4,779.71",United States,NASDAQ,USD,1,USD,-
C,CITIGROUP INC,Financials,Equity,"110,815,356.70",0.28,"110,815,356.70","1,345,990.00",82.33,United States,New York Stock Exchange Inc.,USD,1,USD,-
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"109,729,096.80",0.27,"109,729,096.80","1,044,840.00",105.02,United States,New York Stock Exchange Inc.,USD,1,USD,-
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"108,171,534.40",0.27,"108,171,534.40","591,748.00",182.8,United States,NASDAQ,USD,1,USD,-
BLK,BLACKROCK INC,Financials,Equity,"105,812,874.54",0.26,"105,812,874.54","105,117.00","1,006.62",United States,New York Stock Exchange Inc.,USD,1,USD,-
UNP,UNION PACIFIC CORP,Industrials,Equity,"105,661,180.59",0.26,"105,661,180.59","433,909.00",243.51,United States,New York Stock Exchange Inc.,USD,1,USD,-
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"104,750,549.55",0.26,"104,750,549.55","407,669.00",256.95,United States,New York Stock Exchange Inc.,USD,1,USD,-
PGR,PROGRESSIVE CORP,Financials,Equity,"104,499,265.20",0.26,"104,499,265.20","415,752.00",251.35,United States,New York Stock Exchange Inc.,USD,1,USD,-
PFE,PFIZER INC,Health Care,Equity,"104,159,242.53",0.26,"104,159,242.53","4,032,491.00",25.83,United States,New York Stock Exchange Inc.,USD,1,USD,-
SYK,STRYKER CORP,Health Care,Equity,"101,939,704.46",0.26,"101,939,704.46","257,378.00",396.07,United States,New York Stock Exchange Inc.,USD,1,USD,-
TJX,TJX INC,Consumer Discretionary,Equity,"101,676,002.64",0.25,"101,676,002.64","805,929.00",126.16,United States,New York Stock Exchange Inc.,USD,1,USD,-
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"101,442,666.12",0.25,"101,442,666.12","1,449,388.00",69.99,United States,New York Stock Exchange Inc.,USD,1,USD,-
NEE,NEXTERA ENERGY INC,Utilities,Equity,"101,305,366.17",0.25,"101,305,366.17","1,462,471.00",69.27,United States,New York Stock Exchange Inc.,USD,1,USD,-
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"97,245,904.86",0.24,"97,245,904.86","463,473.00",209.82,United States,NASDAQ,USD,1,USD,-
DHR,DANAHER CORP,Health Care,Equity,"96,414,960.97",0.24,"96,414,960.97","459,097.00",210.01,United States,New York Stock Exchange Inc.,USD,1,USD,-
FI,FISERV INC,Financials,Equity,"93,412,172.88",0.23,"93,412,172.88","403,962.00",231.24,United States,New York Stock Exchange Inc.,USD,1,USD,-
BA,BOEING,Industrials,Equity,"93,265,972.80",0.23,"93,265,972.80","504,686.00",184.8,United States,New York Stock Exchange Inc.,USD,1,USD,-
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"93,041,527.41",0.23,"93,041,527.41","2,699,203.00",34.47,United States,NASDAQ,USD,1,USD,-
COP,CONOCOPHILLIPS,Energy,Equity,"91,980,278.70",0.23,"91,980,278.70","920,355.00",99.94,United States,New York Stock Exchange Inc.,USD,1,USD,-
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"90,332,014.05",0.23,"90,332,014.05","292,365.00",308.97,United States,NASDAQ,USD,1,USD,-
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"90,015,008.80",0.23,"90,015,008.80","805,864.00",111.7,United States,NASDAQ,USD,1,USD,-
BX,BLACKSTONE INC,Financials,Equity,"89,576,092.65",0.22,"89,576,092.65","513,183.00",174.55,United States,New York Stock Exchange Inc.,USD,1,USD,-
ETN,EATON PLC,Industrials,Equity,"88,874,188.85",0.22,"88,874,188.85","281,381.00",315.85,United States,New York Stock Exchange Inc.,USD,1,USD,-
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"88,748,480.28",0.22,"88,748,480.28","1,061,077.00",83.64,United States,New York Stock Exchange Inc.,USD,1,USD,-
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"88,527,184.92",0.22,"88,527,184.92","183,987.00",481.16,United States,NASDAQ,USD,1,USD,-
GILD,GILEAD SCIENCES INC,Health Care,Equity,"87,062,265.12",0.22,"87,062,265.12","888,028.00",98.04,United States,NASDAQ,USD,1,USD,-
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"86,224,488.71",0.22,"86,224,488.71","460,183.00",187.37,United States,NASDAQ,USD,1,USD,-
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"84,513,889.14",0.21,"84,513,889.14","733,182.00",115.27,United States,New York Stock Exchange Inc.,USD,1,USD,-
TMUS,T MOBILE US INC,Communication,Equity,"84,155,700.09",0.21,"84,155,700.09","340,477.00",247.17,United States,NASDAQ,USD,1,USD,-
DE,DEERE,Industrials,Equity,"83,502,038.36",0.21,"83,502,038.36","179,582.00",464.98,United States,New York Stock Exchange Inc.,USD,1,USD,-
MDT,MEDTRONIC PLC,Health Care,Equity,"83,019,016.10",0.21,"83,019,016.10","914,105.00",90.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"82,860,677.46",0.21,"82,860,677.46","1,443,063.00",57.42,United States,New York Stock Exchange Inc.,USD,1,USD,-
MMC,MARSH & MCLENNAN INC,Financials,Equity,"79,487,364.00",0.2,"79,487,364.00","351,714.00",226,United States,New York Stock Exchange Inc.,USD,1,USD,-
CB,CHUBB LTD,Financials,Equity,"78,737,613.84",0.2,"78,737,613.84","288,543.00",272.88,United States,New York Stock Exchange Inc.,USD,1,USD,-
